Pro Left,Pro Right,Anti Left,Anti Right,Date
19.93535448,52.2527443,19.03103343,7.606145802,2016-10-20
16.3588244,57.31603494,19.6365117,4.756440628,2016-10-22
15.10486536,57.84153306,20.61316522,5.056971153,2016-10-23
13.52785146,58.99948124,20.81689782,4.952675521,2016-10-24
14.83947029,57.73632271,20.56116797,5.582714217,2016-10-24
13.30961982,60.72071894,19.06922825,5.721957454,2016-10-25
18.35539594,55.97186789,17.62855255,6.550532313,2016-10-26
18.13932857,57.27117405,16.99386402,6.298412203,2016-10-27
15.44487108,45.42848465,32.8600516,5.089919155,2016-10-28
14.8264543,48.97328485,28.08376836,6.050255626,2016-10-29
16.72807651,50.31376321,24.88765645,6.844101182,2016-10-30
14.77087076,42.67507572,36.38847732,5.28747689,2016-10-31
19.29272347,53.63022146,19.6855953,6.356909218,2016-11-2
17.32878635,51.78084376,23.03417515,6.866740832,2016-11-3
25.17704777,48.6070986,18.66203958,6.778611902,2016-11-4
26.80534295,49.86425058,16.16575882,6.290008004,2016-11-5
39.12521283,49.35461185,6.201993154,4.314776855,2016-11-8
24.09035004,58.21634478,6.913652945,10.47290313,2016-11-9
22.93560597,60.32209008,6.28061271,10.09301946,2016-11-10
14.37170524,68.99963859,6.647786045,9.352450742,2016-11-11
10.86240661,71.24392544,6.639588018,10.31225067,2016-11-12
11.02304199,73.64748644,6.670743869,8.244868458,2016-11-13
9.437123983,77.18860672,6.052730595,7.020143444,2016-11-14
9.402749457,76.86048806,5.94224824,7.445898836,2016-11-15
10.63815849,77.1366804,5.214671176,6.635439783,2016-11-16
